Gene ID	% GC content
ENSG00000282212	49.58
ENSG00000282289	50.61
ENSG00000281913	48.97
ENSG00000280582	44.53
ENSG00000282424	47.59
ENSG00000281697	39.90
ENSG00000282216	49.07
ENSG00000282288	45.79
ENSG00000281086	40.28
ENSG00000280831	47.62
ENSG00000282583	49.88
ENSG00000280475	42.86
ENSG00000281660	47.64
ENSG00000206783	43.27
ENSG00000281874	42.56
ENSG00000207477	39.81
ENSG00000281818	44.34
ENSG00000282688	45.85
ENSG00000281051	53.24
ENSG00000281234	45.19
ENSG00000282125	50.97
ENSG00000280689	42.13
ENSG00000282792	49.60
ENSG00000281168	40.11
ENSG00000280962	40.28
ENSG00000280495	49.51
ENSG00000281671	39.96
ENSG00000281525	48.96
ENSG00000281860	52.99
ENSG00000280774	41.16
ENSG00000281677	42.64
ENSG00000281320	57.17
ENSG00000281403	50.57
ENSG00000280682	53.98
ENSG00000280548	48.35
ENSG00000280932	56.56
ENSG00000281221	50.25
ENSG00000281526	39.84
ENSG00000281233	46.96
ENSG00000281601	39.65
ENSG00000281009	37.98
ENSG00000281163	43.61
ENSG00000280967	49.54
ENSG00000280568	38.52
ENSG00000280616	48.94
ENSG00000280797	34.71
ENSG00000281123	51.95
ENSG00000281702	50.91
ENSG00000281500	56.49
ENSG00000283024	36.12
ENSG00000282866	38.87
ENSG00000282825	50.30
ENSG00000283092	51.60
ENSG00000283055	34.81
ENSG00000283114	54.19
ENSG00000283120	46.27
ENSG00000282467	36.23
ENSG00000282931	44.87
ENSG00000283067	35.76
ENSG00000283059	49.14
ENSG00000283668	41.49
ENSG00000283094	35.70
ENSG00000283153	35.99
ENSG00000282908	39.81
ENSG00000283080	47.94
ENSG00000282900	53.62
ENSG00000282959	50.58
ENSG00000283002	48.40
ENSG00000282923	51.09
ENSG00000283062	51.39
ENSG00000282929	39.87
ENSG00000282928	50.87
ENSG00000282050	49.33
ENSG00000282699	42.96
ENSG00000282974	43.87
ENSG00000282448	44.06
ENSG00000282801	50.99
ENSG00000282163	50.99
ENSG00000282310	50.49
ENSG00000283113	49.71
ENSG00000282758	49.81
ENSG00000282248	48.06
ENSG00000282823	49.91
ENSG00000282694	50.38
ENSG00000282603	50.21
ENSG00000282251	47.35
ENSG00000282447	50.74
ENSG00000282282	48.31
ENSG00000281978	49.50
ENSG00000282200	45.92
ENSG00000282244	48.76
ENSG00000282402	51.11
ENSG00000282210	43.18
ENSG00000282762	47.95
ENSG00000282093	47.56
ENSG00000282671	45.50
ENSG00000282062	52.96
ENSG00000282622	46.32
ENSG00000282000	54.77
ENSG00000282666	48.02
ENSG00000283068	36.07
ENSG00000282025	43.32
ENSG00000282635	45.74
ENSG00000282956	40.30
ENSG00000281933	48.28
ENSG00000282743	48.48
ENSG00000282571	48.54
ENSG00000282811	42.72
ENSG00000282149	49.18
ENSG00000282157	48.77
ENSG00000282646	47.53
ENSG00000282394	50.38
ENSG00000282387	45.75
ENSG00000282120	49.43
ENSG00000282182	53.12
ENSG00000283115	41.34
ENSG00000282982	52.44
ENSG00000282986	50.37
ENSG00000282867	39.81
ENSG00000282877	44.33
ENSG00000283085	43.53
ENSG00000282844	53.01
ENSG00000282739	40.15
ENSG00000282510	43.93
ENSG00000282585	52.35
ENSG00000282976	49.54
ENSG00000282869	53.04
ENSG00000282902	58.65
ENSG00000283082	58.65
ENSG00000283011	42.59
ENSG00000282992	52.35
ENSG00000282243	46.07
ENSG00000282853	51.47
ENSG00000282832	49.98
ENSG00000283077	53.20
ENSG00000282947	53.73
ENSG00000282846	48.12
ENSG00000282895	53.25
ENSG00000283121	53.37
ENSG00000283100	53.55
ENSG00000282905	50.76
ENSG00000283099	60.11
ENSG00000283104	53.66
ENSG00000282835	51.61
ENSG00000283018	55.60
ENSG00000282930	40.59
ENSG00000282954	49.36
ENSG00000283021	48.18
ENSG00000282901	58.69
ENSG00000283102	41.57
ENSG00000282193	65.44
ENSG00000282362	41.17
ENSG00000282654	54.01
ENSG00000282324	54.56
ENSG00000282509	39.91
ENSG00000282767	45.11
ENSG00000282328	54.01
ENSG00000282400	57.88
ENSG00000283530	34.58
ENSG00000282316	51.69
ENSG00000282096	40.49
ENSG00000283595	45.92
ENSG00000283264	36.54
ENSG00000282249	67.43
ENSG00000283007	37.75
ENSG00000282009	44.86
ENSG00000281198	46.81
ENSG00000282722	47.29
ENSG00000282729	45.71
ENSG00000282971	38.21
ENSG00000282442	29.47
ENSG00000283539	55.60
ENSG00000283350	63.41
ENSG00000282554	41.22
ENSG00000282670	28.66
ENSG00000281118	50.07
ENSG00000282275	54.43
ENSG00000282207	49.30
ENSG00000280931	43.69
ENSG00000280808	45.83
ENSG00000282689	40.02
ENSG00000281056	48.11
ENSG00000281563	39.80
ENSG00000283287	53.18
ENSG00000280899	40.49
ENSG00000283252	47.24
ENSG00000283640	64.84
ENSG00000281680	43.17
ENSG00000282177	45.86
ENSG00000282701	54.56
ENSG00000281166	48.59
ENSG00000283658	44.54
ENSG00000283651	34.28
ENSG00000282773	53.24
ENSG00000283163	38.78
ENSG00000283158	61.79
ENSG00000283508	43.78
ENSG00000283243	57.20
ENSG00000280606	41.38
ENSG00000283127	57.75
ENSG00000282547	52.92
ENSG00000283593	60.83
ENSG00000281960	39.95
ENSG00000283700	61.86
ENSG00000282109	38.92
ENSG00000283581	57.98
ENSG00000283181	71.64
ENSG00000282068	51.70
ENSG00000283449	68.80
ENSG00000282629	52.92
ENSG00000283363	73.25
ENSG00000283660	49.57
ENSG00000283223	54.77
ENSG00000283552	51.03
ENSG00000281013	48.78
ENSG00000283404	73.50
ENSG00000283309	73.50
ENSG00000283306	73.50
ENSG00000283190	73.25
ENSG00000283161	73.25
ENSG00000283325	73.25
ENSG00000283407	73.25
ENSG00000283177	73.25
ENSG00000283606	73.25
ENSG00000283610	73.25
ENSG00000281931	42.29
ENSG00000283388	73.25
ENSG00000281750	45.11
ENSG00000283226	71.48
ENSG00000280714	39.11
ENSG00000280705	58.57
ENSG00000281908	56.51
ENSG00000281004	60.94
ENSG00000280467	49.75
ENSG00000282081	43.35
ENSG00000282555	69.74
ENSG00000281757	63.20
ENSG00000282046	41.48
ENSG00000283465	52.66
ENSG00000282088	41.78
ENSG00000282276	38.89
ENSG00000283589	53.37
ENSG00000282168	37.70
ENSG00000280905	62.70
ENSG00000281387	60.09
ENSG00000281436	61.02
ENSG00000281897	49.75
ENSG00000281465	62.82
ENSG00000281478	63.21
ENSG00000283135	50.15
ENSG00000283134	54.22
ENSG00000283315	37.68
ENSG00000282856	56.41
ENSG00000282962	37.27
ENSG00000282934	55.65
ENSG00000283109	34.95
ENSG00000283124	36.00
ENSG00000282938	36.35
ENSG00000283030	31.99
ENSG00000283119	44.52
ENSG00000283032	39.11
ENSG00000283185	50.11
ENSG00000283089	58.54
ENSG00000282919	39.11
ENSG00000282969	56.45
ENSG00000283425	48.08
ENSG00000282884	60.97
ENSG00000282838	55.65
ENSG00000282833	41.18
ENSG00000283348	45.15
ENSG00000283026	49.75
ENSG00000282891	32.03
ENSG00000282984	44.20
ENSG00000282966	62.70
ENSG00000283292	47.02
ENSG00000282958	38.85
ENSG00000283661	50.59
ENSG00000283410	51.90
ENSG00000282983	29.88
ENSG00000283370	46.14
ENSG00000283543	50.61
ENSG00000282837	57.26
ENSG00000283624	47.29
ENSG00000282967	32.35
ENSG00000283022	41.08
ENSG00000283216	48.32
ENSG00000282845	45.67
ENSG00000283087	34.97
ENSG00000283231	48.64
ENSG00000283056	53.37
ENSG00000283139	48.13
ENSG00000283565	50.61
ENSG00000283150	47.59
ENSG00000283650	49.07
ENSG00000283046	32.75
ENSG00000202250	45.79
ENSG00000283006	60.09
ENSG00000283070	61.91
ENSG00000282979	58.54
ENSG00000282874	56.45
ENSG00000283387	49.88
ENSG00000282848	38.48
ENSG00000283112	59.87
ENSG00000283049	45.95
ENSG00000283090	32.82
ENSG00000282937	59.10
ENSG00000283478	45.85
ENSG00000282862	51.42
ENSG00000283009	46.00
ENSG00000283008	63.22
ENSG00000282868	33.35
ENSG00000283248	50.97
ENSG00000283488	51.46
ENSG00000283106	51.57
ENSG00000282880	40.36
ENSG00000282829	38.71
ENSG00000283012	44.77
ENSG00000282941	48.56
ENSG00000282513	39.64
ENSG00000282918	40.14
ENSG00000283066	41.95
ENSG00000283014	41.14
ENSG00000282824	39.18
ENSG00000282857	39.66
ENSG00000283116	43.66
ENSG00000282999	44.40
ENSG00000283105	43.50
ENSG00000282903	39.02
ENSG00000282926	60.92
ENSG00000282972	48.07
ENSG00000283019	46.98
ENSG00000282892	49.76
ENSG00000282410	46.80
ENSG00000283017	39.35
ENSG00000283670	62.82
ENSG00000283015	42.42
ENSG00000282854	49.67
ENSG00000282932	35.53
ENSG00000282830	49.00
ENSG00000282981	62.79
ENSG00000282945	40.16
ENSG00000282841	38.15
ENSG00000283107	52.58
ENSG00000282839	47.05
ENSG00000282899	51.66
ENSG00000283079	34.38
ENSG00000282990	45.92
ENSG00000283060	57.27
ENSG00000282942	52.30
ENSG00000283510	40.81
ENSG00000283129	48.42
ENSG00000283687	41.90
ENSG00000283641	46.14
ENSG00000283192	63.47
ENSG00000283244	41.49
ENSG00000283630	35.99
ENSG00000283284	62.70
ENSG00000283397	43.78
ENSG00000283437	57.75
ENSG00000283655	60.83
ENSG00000283308	61.86
ENSG00000283282	57.98
ENSG00000283184	71.64
ENSG00000283250	68.80
ENSG00000283570	73.25
ENSG00000283353	51.03
ENSG00000283358	73.25
ENSG00000283642	73.25
ENSG00000283424	73.25
ENSG00000283466	73.25
ENSG00000283470	73.25
ENSG00000283322	73.25
ENSG00000283144	73.25
ENSG00000283362	73.25
ENSG00000283261	73.25
ENSG00000283520	72.13
ENSG00000283548	71.95
ENSG00000283600	71.42
ENSG00000283173	60.09
ENSG00000281053	58.42
ENSG00000281266	56.32
ENSG00000283628	61.00
ENSG00000283681	49.75
ENSG00000283447	40.81
ENSG00000283140	63.13
ENSG00000283373	63.17
ENSG00000283260	42.14
ENSG00000283168	47.83
ENSG00000283391	45.25
ENSG00000283254	53.30
ENSG00000283323	35.96
ENSG00000283671	38.75
ENSG00000283482	42.42
ENSG00000283448	42.80
ENSG00000283643	43.40
ENSG00000283395	49.38
ENSG00000283357	44.33
ENSG00000281402	49.66
ENSG00000283649	37.53
ENSG00000283596	48.29
ENSG00000283169	52.73
ENSG00000283305	46.78
ENSG00000210049	40.85
ENSG00000211459	45.49
ENSG00000210077	42.03
ENSG00000210082	42.81
ENSG00000209082	38.67
ENSG00000198888	47.70
ENSG00000210100	28.99
ENSG00000223795	46.01
ENSG00000210107	48.61
ENSG00000210112	45.59
ENSG00000198763	42.99
ENSG00000253735	39.92
ENSG00000210117	35.29
ENSG00000259727	48.07
ENSG00000210127	43.48
ENSG00000210135	41.10
ENSG00000210140	45.45
ENSG00000210144	42.42
ENSG00000198804	46.24
ENSG00000210151	49.28
ENSG00000210154	23.53
ENSG00000198712	46.20
ENSG00000210156	32.86
ENSG00000253334	34.88
ENSG00000241965	49.48
ENSG00000228253	39.61
ENSG00000225166	39.21
ENSG00000234285	46.93
ENSG00000198899	44.20
ENSG00000249153	27.08
ENSG00000231942	47.54
ENSG00000188152	57.58
ENSG00000261335	46.77
ENSG00000189229	36.76
ENSG00000276886	43.48
ENSG00000232187	48.19
ENSG00000198938	46.56
ENSG00000235165	51.65
ENSG00000269374	44.91
ENSG00000210164	26.47
ENSG00000198840	40.17
ENSG00000276253	44.86
ENSG00000213176	58.63
ENSG00000264633	50.75
ENSG00000210174	23.08
ENSG00000189139	46.60
ENSG00000267250	44.03
ENSG00000267152	35.52
ENSG00000212907	43.10
ENSG00000280671	36.02
ENSG00000200530	49.43
ENSG00000198886	44.27
ENSG00000207500	36.11
ENSG00000210176	36.23
ENSG00000264158	45.33
ENSG00000210184	45.76
ENSG00000210191	35.21
ENSG00000233277	46.86
ENSG00000280544	46.06
ENSG00000174038	50.83
ENSG00000198786	44.92
ENSG00000275821	53.91
ENSG00000222472	53.68
ENSG00000231836	42.98
ENSG00000222445	45.62
ENSG00000198695	42.67
ENSG00000222418	51.19
ENSG00000210194	39.13
ENSG00000252760	50.00
ENSG00000279499	29.16
ENSG00000198727	46.28
ENSG00000223012	48.79
ENSG00000241082	57.31
ENSG00000210195	37.88
ENSG00000273009	45.21
ENSG00000252182	66.97
ENSG00000210196	33.82
ENSG00000278420	70.49
ENSG00000199634	39.01
ENSG00000252830	44.55
ENSG00000207249	37.98
ENSG00000200372	38.79
ENSG00000207241	35.71
ENSG00000275283	46.00
ENSG00000278050	42.86
ENSG00000280496	55.15
ENSG00000266653	50.41
ENSG00000202245	33.65
ENSG00000251861	55.17
ENSG00000223142	50.15
ENSG00000206776	33.61
ENSG00000260701	45.51
ENSG00000184203	39.00
ENSG00000207161	43.24
ENSG00000201709	37.38
ENSG00000117650	39.50
ENSG00000084090	42.97
ENSG00000222874	47.94
ENSG00000260922	39.98
ENSG00000278357	52.67
ENSG00000238698	38.71
ENSG00000226348	48.53
ENSG00000200407	37.86
ENSG00000274005	50.16
ENSG00000199514	37.38
ENSG00000223023	37.96
ENSG00000111802	39.02
ENSG00000200555	39.42
ENSG00000264153	44.70
ENSG00000276788	40.00
ENSG00000264379	48.68
ENSG00000273596	45.50
ENSG00000274008	50.17
ENSG00000207359	36.54
ENSG00000207762	41.67
ENSG00000207402	36.45
ENSG00000199282	48.09
ENSG00000206920	38.53
ENSG00000202041	36.07
ENSG00000199415	59.50
ENSG00000239189	34.91
ENSG00000200680	41.46
ENSG00000264358	50.68
ENSG00000276221	43.48
ENSG00000202144	46.08
ENSG00000201523	44.12
ENSG00000248911	41.45
ENSG00000276769	69.01
ENSG00000265559	54.33
ENSG00000208023	63.41
ENSG00000233427	49.15
ENSG00000163291	35.92
ENSG00000243215	44.81
ENSG00000252532	41.54
ENSG00000207209	41.18
ENSG00000283291	48.68
ENSG00000265164	45.71
ENSG00000267665	52.05
ENSG00000201388	49.62
ENSG00000266191	70.90
ENSG00000275293	55.31
ENSG00000275117	57.07
ENSG00000201813	37.86
ENSG00000238906	44.76
ENSG00000249515	35.62
ENSG00000263892	56.06
ENSG00000264974	37.80
ENSG00000207944	65.62
ENSG00000248928	41.15
ENSG00000200163	41.46
ENSG00000199550	46.02
ENSG00000249963	42.57
ENSG00000274799	55.32
ENSG00000267640	43.03
ENSG00000212024	50.53
ENSG00000270230	41.07
ENSG00000276823	47.40
ENSG00000252460	34.31
ENSG00000252420	41.75
ENSG00000256494	39.08
ENSG00000201271	49.39
ENSG00000252319	43.43
ENSG00000239580	51.85
ENSG00000206649	32.06
ENSG00000280427	65.64
ENSG00000273573	52.50
ENSG00000278108	55.07
ENSG00000278086	48.78
ENSG00000252262	43.00
ENSG00000240322	50.50
ENSG00000221598	65.15
ENSG00000212411	38.16
ENSG00000197863	42.57
ENSG00000257456	36.79
ENSG00000207516	41.41
ENSG00000283502	41.38
ENSG00000237952	46.74
ENSG00000200708	53.40
ENSG00000276296	55.03
ENSG00000275877	52.63
ENSG00000224466	60.86
ENSG00000201006	38.24
ENSG00000251830	50.00
ENSG00000253233	45.62
ENSG00000223026	43.51
ENSG00000263896	46.60
ENSG00000273961	68.37
ENSG00000200003	35.29
ENSG00000253028	44.36
ENSG00000212219	44.00
ENSG00000252667	57.52
ENSG00000201701	42.19
ENSG00000232268	48.26
ENSG00000238723	40.20
ENSG00000206970	37.38
ENSG00000253040	39.37
ENSG00000275006	45.10
ENSG00000206972	44.86
ENSG00000199459	43.64
ENSG00000278190	42.99
ENSG00000207306	38.32
ENSG00000170923	47.11
ENSG00000200089	50.67
ENSG00000207430	45.86
ENSG00000276100	47.10
ENSG00000254027	64.09
ENSG00000202186	37.50
ENSG00000264725	43.42
ENSG00000222436	45.91
ENSG00000222796	37.23
ENSG00000274901	34.41
ENSG00000206905	44.23
ENSG00000212147	42.06
ENSG00000252474	39.81
ENSG00000276563	40.55
ENSG00000243011	51.21
ENSG00000266187	58.50
ENSG00000231057	45.91
ENSG00000251761	31.78
ENSG00000244501	52.58
ENSG00000115425	42.56
ENSG00000238632	45.16
ENSG00000206767	40.19
ENSG00000242688	54.49
ENSG00000252410	40.00
ENSG00000206637	51.11
ENSG00000238485	39.42
ENSG00000277512	39.73
ENSG00000176142	39.09
ENSG00000222451	47.10
ENSG00000238808	40.32
ENSG00000202357	44.04
ENSG00000222990	46.39
ENSG00000199872	38.32
ENSG00000200563	36.19
ENSG00000277667	56.08
ENSG00000083814	49.44
ENSG00000207347	35.51
ENSG00000212595	49.11
ENSG00000266166	50.35
ENSG00000273913	53.55
ENSG00000201860	40.78
ENSG00000201390	40.19
ENSG00000253088	38.60
ENSG00000252889	41.41
ENSG00000200120	42.16
ENSG00000212347	30.88
ENSG00000222544	39.25
ENSG00000268392	41.22
ENSG00000239190	47.12
ENSG00000239504	53.66
ENSG00000239021	47.90
ENSG00000274975	63.01
ENSG00000265420	36.14
ENSG00000275775	40.20
ENSG00000207633	52.38
ENSG00000225528	45.16
ENSG00000207960	43.68
ENSG00000207932	47.83
ENSG00000276706	41.38
ENSG00000265867	72.09
ENSG00000263468	54.67
ENSG00000279287	43.24
ENSG00000260038	40.86
ENSG00000222440	43.46
ENSG00000199609	52.73
ENSG00000265112	40.24
ENSG00000266610	52.27
ENSG00000266194	46.67
ENSG00000243801	52.13
ENSG00000264105	35.48
ENSG00000202513	44.34
ENSG00000234111	43.19
ENSG00000272055	45.79
ENSG00000252115	44.32
ENSG00000252717	41.12
ENSG00000276918	50.67
ENSG00000277887	66.92
ENSG00000264881	54.65
ENSG00000212441	35.51
ENSG00000237222	46.70
ENSG00000236956	36.83
ENSG00000264720	46.15
ENSG00000208024	53.64
ENSG00000201143	42.68
ENSG00000283203	43.84
ENSG00000207963	32.29
ENSG00000271817	45.66
ENSG00000199470	48.48
ENSG00000202351	45.81
ENSG00000277136	52.58
ENSG00000207369	42.99
ENSG00000201033	44.44
ENSG00000262132	42.02
ENSG00000241552	48.98
ENSG00000265738	42.98
ENSG00000222594	48.20
ENSG00000244642	56.27
ENSG00000202198	58.01
ENSG00000207076	41.12
ENSG00000272020	49.08
ENSG00000279183	48.53
ENSG00000239595	56.55
ENSG00000273927	41.18
ENSG00000280127	50.13
ENSG00000200728	45.71
ENSG00000206709	42.06
ENSG00000221394	66.67
ENSG00000252204	42.72
ENSG00000120341	43.66
ENSG00000222419	46.09
ENSG00000199570	40.57
ENSG00000252080	35.48
ENSG00000222636	51.67
ENSG00000266758	43.68
ENSG00000265376	35.71
ENSG00000238390	41.24
ENSG00000265253	53.73
ENSG00000252383	35.58
ENSG00000200774	36.36
ENSG00000277577	49.21
ENSG00000240905	54.49
ENSG00000221768	31.94
ENSG00000252368	46.36
ENSG00000273882	39.74
ENSG00000206651	41.59
ENSG00000206834	40.00
ENSG00000199102	45.59
ENSG00000252594	44.86
ENSG00000277004	64.23
ENSG00000200883	35.71
ENSG00000275022	66.46
ENSG00000211538	53.57
ENSG00000200656	53.03
ENSG00000274232	48.04
ENSG00000244080	52.46
ENSG00000265444	52.63
ENSG00000252231	45.04
ENSG00000241291	53.56
ENSG00000199204	40.20
ENSG00000200632	41.56
ENSG00000266559	76.79
ENSG00000264823	67.86
ENSG00000276493	51.89
ENSG00000199929	46.49
ENSG00000265326	71.24
ENSG00000221375	32.52
ENSG00000275273	51.47
ENSG00000233076	59.92
ENSG00000265635	54.02
ENSG00000273544	50.76
ENSG00000206698	45.12
ENSG00000223224	48.84
ENSG00000238387	38.46
ENSG00000206911	42.48
ENSG00000233263	43.20
ENSG00000244091	56.14
ENSG00000252833	46.81
ENSG00000258633	40.19
ENSG00000207637	53.12
ENSG00000279654	50.40
ENSG00000201710	36.00
ENSG00000252143	55.24
ENSG00000276002	55.71
ENSG00000222416	43.52
ENSG00000199858	34.26
ENSG00000252558	43.12
ENSG00000206777	42.99
ENSG00000202034	41.84
ENSG00000251213	35.61
ENSG00000244357	50.68
ENSG00000252026	33.33
ENSG00000255220	40.96
ENSG00000212190	34.38
ENSG00000241604	54.39
ENSG00000265793	33.33
ENSG00000099338	53.10
ENSG00000274862	46.60
ENSG00000275652	64.52
ENSG00000134294	38.54
ENSG00000238745	41.35
ENSG00000200650	54.87
ENSG00000238761	41.35
ENSG00000253072	34.88
ENSG00000252935	33.33
ENSG00000251953	57.76
ENSG00000240733	51.72
ENSG00000105258	60.72
ENSG00000277996	56.08
ENSG00000251952	34.82
ENSG00000278938	50.13
ENSG00000276323	55.03
ENSG00000202125	48.48
ENSG00000264041	52.72
ENSG00000273613	67.16
ENSG00000201263	40.28
ENSG00000281656	35.72
ENSG00000200112	30.99
ENSG00000274134	61.43
ENSG00000265734	39.78
ENSG00000273788	45.37
ENSG00000200376	36.44
ENSG00000278034	59.72
ENSG00000199053	61.45
ENSG00000274314	69.57
ENSG00000281269	57.14
ENSG00000223109	70.49
ENSG00000278427	46.24
ENSG00000201527	53.91
ENSG00000207615	42.17
ENSG00000263968	56.71
ENSG00000207563	50.52
ENSG00000207991	49.37
ENSG00000265215	61.90
ENSG00000240723	52.13
ENSG00000221227	36.05
ENSG00000281010	43.75
ENSG00000272460	42.68
ENSG00000252643	38.46
ENSG00000206687	48.98
ENSG00000201793	54.52
ENSG00000212553	43.01
ENSG00000252530	37.50
ENSG00000196323	39.13
ENSG00000202174	51.32
ENSG00000221264	30.00
ENSG00000201242	40.18
ENSG00000272237	41.23
ENSG00000200131	47.88
ENSG00000272393	39.42
ENSG00000260351	40.95
ENSG00000199846	43.14
ENSG00000206797	43.00
ENSG00000260608	39.41
ENSG00000268154	55.48
ENSG00000212608	36.29
ENSG00000204963	40.11
ENSG00000252824	49.44
ENSG00000246477	38.67
ENSG00000277269	41.43
ENSG00000212279	41.43
ENSG00000252608	36.45
ENSG00000202029	42.06
ENSG00000207455	42.99
ENSG00000206882	50.00
ENSG00000204962	40.02
ENSG00000199781	36.36
ENSG00000253001	43.95
ENSG00000206853	43.51
ENSG00000253023	43.24
ENSG00000223088	48.31
ENSG00000252544	39.58
ENSG00000222317	38.53
ENSG00000241144	54.33
ENSG00000268530	54.91
ENSG00000239560	54.67
ENSG00000252590	47.69
ENSG00000223125	43.46
ENSG00000222511	33.98
ENSG00000199248	41.12
ENSG00000207362	38.32
ENSG00000252905	46.88
ENSG00000200287	31.31
ENSG00000263879	44.70
ENSG00000180532	41.56
ENSG00000207002	53.44
ENSG00000200389	42.06
ENSG00000281370	37.65
ENSG00000206639	39.22
ENSG00000283313	39.76
ENSG00000224357	39.30
ENSG00000201796	38.61
ENSG00000207271	43.55
ENSG00000279011	53.59
ENSG00000207405	55.22
ENSG00000277713	56.72
ENSG00000223410	42.37
ENSG00000212040	38.46
ENSG00000199291	42.16
ENSG00000278598	71.01
ENSG00000237939	36.66
ENSG00000266423	39.73
ENSG00000207486	39.25
ENSG00000277904	53.16
ENSG00000222976	54.58
ENSG00000266124	64.15
ENSG00000252995	44.12
ENSG00000100583	44.51
ENSG00000232553	52.63
ENSG00000196365	57.82
ENSG00000259083	61.35
ENSG00000278687	50.00
ENSG00000277704	71.10
ENSG00000271499	58.07
ENSG00000109458	38.61
ENSG00000130147	50.77
ENSG00000230177	41.18
ENSG00000001036	39.69
ENSG00000273345	41.30
ENSG00000225969	62.54
ENSG00000260059	37.92
ENSG00000198156	46.08
ENSG00000196267	43.18
ENSG00000133466	50.64
ENSG00000152969	49.33
ENSG00000270989	46.60
ENSG00000267927	48.79
ENSG00000132823	40.61
ENSG00000269102	44.86
ENSG00000156795	45.17
ENSG00000146386	44.20
ENSG00000237055	41.42
ENSG00000228072	39.67
ENSG00000137285	56.75
ENSG00000005194	44.41
ENSG00000221923	41.86
ENSG00000211937	53.88
ENSG00000142453	54.32
ENSG00000214189	43.80
ENSG00000054965	41.55
ENSG00000253832	42.64
ENSG00000282601	58.21
